epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.503529057758195,0.8246428571428571,1.1996250787803104,0.6671428571428571
2,0.21031388015619346,0.9303571428571429,0.8794706654548645,0.755
3,0.14099590037550244,0.9548214285714286,0.5979394408195678,0.8371428571428572
4,0.08842139842520867,0.9698214285714286,0.9432602767511603,0.7735714285714286
5,0.10975688668234007,0.9669642857142857,1.1485805400946576,0.7242857142857143
6,0.0914959426689893,0.97125,0.586084283485543,0.8592857142857143
7,0.04585116965596431,0.9857142857142858,0.7263723776223404,0.8178571428571428
8,0.07270913713877755,0.9783928571428572,1.1205858513500009,0.7578571428571429
9,0.05986341535113752,0.9808928571428571,0.7048060091021969,0.8092857142857143
10,0.03359011994982471,0.9867857142857143,1.1699894761008078,0.7635714285714286
