target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-0.510063947,-0.481064052,-3.259480438,-2.407699841,9.218776655,-0.410727196,0.801474728,-1.996474035,7.030986642,0.239523318,8.44184219,0.598475213,3.173421264,0.444158088,1.403826466,-2.644645498,-1.103141391,1.535132013,2.316346978,0.407469776,0.737223491,1.118712807
-1.050248727,0.761965302,-2.688902661,4.366710491,0.759107336,-0.319081237,1.71666463,0.7321292,-1.240577969,-0.528353737,-0.787117484,-1.078421505,0.963702958,1.426170009,-0.278620978,-1.212202801,-1.218898706,-0.378610616,-0.535966684,1.169075303,1.663860295,0.393501631
-0.627181327,0.757722196,-0.169879574,3.212065815,0.967273853,0.88595995,-2.145083468,1.166824803,0.600015573,0.511575774,0.900843917,0.785499659,1.930511169,-1.124974582,-0.238602904,2.544948808,-0.877630558,-0.189681203,-0.475342319,0.686297694,-0.728689176,-1.662095703
-0.380474778,-0.587717277,0.56469476,-0.020011455,-1.725587671,-0.259796503,1.568290742,0.823244375,0.501103731,-0.096136077,0.94177012,-1.438763353,-2.584730526,-1.992301319,-0.278402523,-1.997894258,0.044052499,-1.799765732,0.659124805,-1.798059586,-0.102689838,1.40127256
-0.759599964,-0.126656735,-0.042472883,-0.309857459,-1.077524142,1.804895455,0.012899517,0.562461813,0.636293183,1.587436902,-0.70633598,-1.510124018,1.064056313,0.044833238,-0.066737053,-0.938456888,-0.608035743,-0.29708216,0.04869472,0.139460514,-1.370368548,0.726619089
-0.426099356,1.43330898,-1.241353673,7.488610325,0.805757381,-2.229992166,2.998822361,0.783489717,-0.716477813,-1.518761372,0.606870204,0.187346518,-1.019208585,0.091184336,-0.075167642,-1.362416679,0.506921634,-1.038312975,0.089132016,1.002618863,-0.899424276,0.651868314
-0.747523468,0.72932482,-0.330537462,0.603289131,-2.753275084,0.761264942,0.159748655,0.345460284,0.598528274,-1.915728437,1.651919883,-0.045459541,1.825681602,1.403396388,-0.015927536,-2.134158816,0.096567105,-1.761009207,-1.00113642,1.97402281,0.701563415,-0.077316239
-0.731866095,0.583389499,1.1964474,-0.404325383,-2.905334225,0.262886893,0.480285298,0.221897011,0.748736815,-2.205182632,-1.362854703,-3.214569928,1.756589241,-0.137467472,4.176098455,-1.15227006,-0.529374166,-1.613049417,0.035536888,1.049438358,0.732511275,2.288140933
-0.878785423,-0.729056475,-0.436683734,-0.43255271,0.965765337,1.313631861,-0.756475943,1.071176183,-0.228632713,2.350528016,-1.587518441,-1.963290828,0.86530009,-0.788163127,-1.013291662,0.546706211,-1.282370636,-0.003333099,0.130388882,-0.562400203,-0.63361834,0.382995155
-0.117104251,-0.361341447,2.220589887,-0.49788186,0.372809796,1.868668668,3.073184119,2.370832437,-0.647445378,1.930574872,-1.892119071,4.384562844,1.62761065,-3.272965038,2.008044344,-0.278943048,1.419346172,1.281019015,-0.284002787,0.687033846,0.188483202,-0.18746175
-0.413087633,1.386589542,-1.643408407,1.167110294,-1.0410572,2.888560546,-2.332565551,-1.421820674,3.419759034,-4.487195034,-4.563788819,0.450921083,-1.117313916,0.405927351,0.580595858,0.102348112,1.155449323,1.123887373,1.257567047,0.419174853,0.609400509,0.587665632
61.92938942,0.109418741,-0.273912259,0.106002547,0.046993531,-0.097215087,-0.175539264,-0.014954595,-0.197426131,0.195311954,-0.019567754,-0.250628453,0.006469774,0.067486353,0.12771806,-0.064140061,-0.085052841,0.04381274,0.073763265,0.192575865,-0.046882022,-0.055265124
-1.026468668,-0.620929744,-0.505190853,1.050788695,-3.57578453,-1.489282603,-1.695144592,0.758525301,4.324609691,1.103457005,-0.181454058,-0.066718298,0.410935281,-0.379770762,-1.560196898,0.68706885,-0.251284334,0.042411663,0.661699815,1.193102214,0.498283084,-0.395370371
-0.869398906,-1.113690028,-0.338935357,-0.802465161,-2.398529848,-2.575305466,-1.99449014,-5.119330013,-0.126142157,1.094962972,-0.872762541,4.114057089,0.47617198,1.567033773,3.679308384,0.418282422,0.285885331,0.758712716,0.513284153,-0.0364998,0.045492735,-1.119303438
-0.325176622,0.447423433,-0.62892978,2.612476822,-0.592221595,1.06699927,-1.284727458,-0.908953509,0.006097413,-2.704714905,0.143680781,3.668449846,-1.086448308,0.262211048,-0.996558168,0.653004521,-0.725089789,1.75412569,-0.962667359,-0.018400374,-0.698934056,-0.156979849
-0.518598716,0.568710539,1.466678491,-0.610849481,0.373075207,2.1023174,1.479276028,2.681283843,-0.338919096,-0.493131241,-0.758336231,3.286163909,-0.878422375,-4.714257511,0.967275047,-1.411023472,2.113133208,0.471879132,1.589893889,1.897010766,1.077663973,0.410901095
-0.382805875,-0.469890299,-0.242216048,-1.949124836,0.814320828,0.437941635,0.935670475,0.455332338,-2.107403495,-0.00925384,0.179681493,-1.255586835,-0.692407268,0.072103944,-1.636902037,-0.628918433,1.089871643,-1.796115741,0.086959278,-0.786334631,0.455183379,-0.036109612
-0.989453395,-0.311971754,0.228303015,-0.525838836,-0.27874472,0.467071449,-0.88091715,0.643760346,-2.024333021,0.971557633,1.085653468,-0.543987446,1.40270192,0.729683182,-1.345097443,-0.015847885,-1.156452783,-0.340398547,1.195190167,1.372557662,-0.721045114,1.591442634
0.004206273,-0.420105091,0.949494694,-0.376178982,-1.277396687,1.863314211,1.199356956,-0.625403733,-0.564394443,-2.363738776,0.645894314,-1.495245517,1.874856043,0.130115379,0.238201508,3.02407581,-0.454612065,-0.207592819,-0.102064458,-1.420409372,2.087084138,1.564230462
-0.799325901,-0.062906666,-0.909520158,-0.989488398,0.23633907,0.441293659,0.166055113,-0.468661657,-1.112794012,-0.555809176,-0.531687371,-0.85776807,0.921579143,1.274719604,-0.46844608,-1.745786216,0.075260796,-0.834080525,-0.415278846,0.713788023,1.564772229,0.892171695
-0.796475116,0.615142585,-3.094661741,-0.252675704,-0.486823885,1.949874647,-1.546642538,-0.016280768,0.962998054,1.513393772,-3.329748349,-1.42943749,1.24446254,0.396746729,1.279956112,-0.586412862,0.068114816,1.105998528,0.974102935,1.158916558,-0.975791418,-0.262616798
-0.897600086,1.470169043,0.062425036,0.993267374,-0.951369802,2.404199161,-1.846019313,-0.325384803,1.387928242,-2.431155654,-0.986876427,1.326790059,-0.198550121,-0.891136884,0.188617109,-0.481324667,0.388627695,0.387239167,1.050823673,0.815777585,-2.403785835,-1.63443945
-0.70129063,0.313923152,0.324482322,0.562303412,-1.937073554,3.117152047,1.238936781,0.187599244,0.135074979,-0.753283209,0.725167305,0.352370435,2.019297865,1.670997625,-0.550334512,-1.383287983,-1.173665012,0.259878188,-0.619224746,0.224478911,0.874012011,-1.138442279
-0.669702201,0.325262006,2.384206801,-1.306629139,0.550983593,1.685218309,-0.749354313,-1.755853098,-1.174906798,-0.920680767,-1.623531819,-1.331184272,0.686656738,0.503267486,0.86461779,-1.097523813,1.787351163,-1.333545649,1.849392358,-0.145742968,0.757139505,-0.934257926
-0.950884009,0.085194542,0.338333357,0.308328093,1.104806415,-0.340677081,-1.330502475,0.414395415,-2.031829391,-0.716777489,0.359788287,1.636471008,0.696064783,-0.021399544,0.749382371,1.742212184,-1.64888035,0.014887634,-1.093357571,0.730455895,-1.891352332,0.325250072
-0.841765619,0.761575302,0.443002075,0.697319203,-1.77642305,3.118965054,0.462472293,0.086784107,-0.075279609,-2.597591311,0.808409202,-1.610435941,1.489178469,-1.210692178,1.336283144,1.084281398,-1.748167128,1.283220104,0.355684364,-0.376772344,0.830632652,0.031665703
-0.60431309,0.383616096,0.416266472,1.20316366,-1.540523454,3.921135548,0.55712603,-0.589119459,-1.204870643,-1.002418082,1.835239481,-0.1063453,2.614034182,-0.186298362,-0.861278646,1.560791103,-0.837231598,0.842938574,-0.138365044,-1.340439492,0.741699541,-2.097630998
-0.726812441,-1.200242992,7.823643004,-1.634795216,-0.465630247,1.079146992,3.089701817,-1.966622528,0.517242494,-2.332223013,0.247178744,-3.904791848,-1.1768663,-0.826310366,1.155770307,1.712750787,-2.607648779,1.255088747,-0.108016417,2.097970595,0.312715378,-0.764525338
-0.771716543,24.84329155,2.09894791,-3.372063721,-0.034014897,-2.439354043,0.935535867,-0.749119701,0.234736225,1.825976563,-0.174685697,0.088656148,-0.459642352,0.306408728,-0.781101398,0.437407331,-0.352449611,0.66531866,-0.366940125,-0.440501405,0.367194353,0.386888101
-0.151511676,-0.971962285,3.041611729,-1.836141862,1.060592973,1.14582435,3.76477929,2.722400075,-1.307329909,0.716249564,-0.56738827,1.947023028,2.087823111,-3.18906228,-0.490725458,-0.373633635,2.460798198,1.444267471,-0.360793727,0.759889203,1.106863616,0.926868395
-0.192892199,-0.308197594,3.169525982,-0.205912163,0.681076651,0.345381389,0.107264503,0.342691665,0.290942708,0.692768353,-0.901470538,0.133425115,1.58629071,0.11320953,1.673021638,-0.632635007,-0.277434395,-1.016187005,-0.82614782,-1.743937115,-1.023548056,-0.876450545
-0.118630835,0.101357842,1.1598688,-0.086018906,-0.198564137,1.488972654,0.275751202,-0.230940823,-0.985670952,-0.350005509,0.461544063,0.232392271,0.451992508,-0.477463962,0.313531046,-0.259978056,-0.261668558,-0.965960917,0.050850233,-1.793964003,0.565446037,-0.759307647
-0.683825938,-0.267125793,-0.459320823,-0.050093028,-0.30864747,1.787597294,-1.033379731,1.809425721,0.50347659,2.485681272,-0.743781028,-0.422435625,-1.397929429,-2.265651738,-0.019164209,0.466916606,-2.0773538,0.038406811,2.126733601,-1.177925754,-1.870645154,0.951467194
-0.755628242,-0.237478747,-3.808926955,-2.07633265,0.198772828,0.724587636,0.88005165,-1.16938494,-2.770472045,-2.245177726,-0.283552813,0.610923274,-1.033271745,0.202420269,-0.41950176,-0.310980886,-0.403859743,0.936465511,0.152419172,-0.160765346,-0.074385583,-0.332678326
-0.54590223,-0.277429279,-3.617696882,-1.932612072,-1.203456163,1.182032359,2.502918478,-0.885204643,-1.473124667,-1.835978881,0.259083338,-0.586949603,-1.740687515,-1.186511267,0.413913069,1.226693322,-0.775371452,0.854238611,0.39488066,-0.332349351,-1.156768262,-0.187652051
-0.91013824,0.311154871,-3.037466368,-0.618498637,-0.533273751,-0.717150139,-1.165842264,0.543857994,-1.451466865,0.51114614,1.001490072,-0.696049071,0.656017998,-0.85125415,0.434190708,-0.279477601,-0.26977189,-0.456512812,0.485721185,1.60859482,-1.036921125,0.537404995
